timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731566410219,42, HTTP POST Request Demo-1,200,OK,Ex8HTMLReport 1-3,text,true,,2161,179,1,1,https://reqres.in/api/users,42,0,0
1731566410262,66, HTTP POST Request Demo,200,OK,Ex8HTMLReport 1-3,text,true,,3140,420,1,1,https://reqres.in/api/users,30,0,0
1731566410262,30, HTTP POST Request Demo-0,301,Moved Permanently,Ex8HTMLReport 1-3,text,true,,979,241,1,1,http://reqres.in/api/users,30,0,0
1731566410292,36, HTTP POST Request Demo-1,200,OK,Ex8HTMLReport 1-3,text,true,,2161,179,1,1,https://reqres.in/api/users,36,0,0
1731566411901,152, HTTP POST Request Demo,200,OK,Ex8HTMLReport 1-4,text,true,,3125,420,1,1,https://reqres.in/api/users,55,0,26
1731566411901,55, HTTP POST Request Demo-0,301,Moved Permanently,Ex8HTMLReport 1-4,text,true,,969,241,1,1,http://reqres.in/api/users,55,0,26
1731566411957,96, HTTP POST Request Demo-1,200,OK,Ex8HTMLReport 1-4,text,true,,2156,179,1,1,https://reqres.in/api/users,96,0,61
1731566412054,64, HTTP POST Request Demo,200,OK,Ex8HTMLReport 1-4,text,true,,3130,420,1,1,https://reqres.in/api/users,30,0,0
1731566412054,30, HTTP POST Request Demo-0,301,Moved Permanently,Ex8HTMLReport 1-4,text,true,,973,241,1,1,http://reqres.in/api/users,30,0,0
1731566412085,33, HTTP POST Request Demo-1,200,OK,Ex8HTMLReport 1-4,text,true,,2157,179,1,1,https://reqres.in/api/users,33,0,0
1731566412119,74, HTTP POST Request Demo,200,OK,Ex8HTMLReport 1-4,text,true,,3136,420,1,1,https://reqres.in/api/users,39,0,0
1731566412119,39, HTTP POST Request Demo-0,301,Moved Permanently,Ex8HTMLReport 1-4,text,true,,976,241,1,1,http://reqres.in/api/users,39,0,0
